,acqf_1,acqf_10,acqf_2,acqf_2-1,acqf_3,acqf_4,acqf_4-1,acqf_5,acqf_6,acqf_7,acqf_8,acqf_9,random,SMILES
0,31,16,49,36,51,53,53,23,45,18,44,52,53,CCCCCCN(CCCCCC)C(=O)c1cccs1
1,14,14,10,10,11,10,10,11,14,13,12,13,12,CCCCCCN(CCCCCC)C(=O)c1cccc(C(F)(F)F)c1F
2,60,60,19,15,60,60,60,60,60,60,60,60,60,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC
3,12,11,13,12,42,17,18,16,13,15,54,48,44,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F
4,28,11,14,14,60,15,14,33,19,23,54,52,45,O=P(c1ccccc1)(C1CCCCC1)C1CCCCC1
5,15,15,18,13,47,17,17,22,10,10,33,34,40,CCCCCCN(CCCCCC)C(=O)c1cccn1C
6,44,44,32,32,50,33,34,43,43,49,47,47,51,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F
7,42,38,35,35,23,20,17,19,14,15,35,37,30,CCCCCCN(CCCCCC)C(=O)c1cccc(Cl)c1Cl
8,60,60,60,60,60,60,60,60,60,60,60,60,60,O=P(c1ccccc1Cl)(C1CCCCC1)C1CCCCC1
9,60,60,60,60,60,60,60,60,60,60,60,60,60,CCCCCCN(CCCCCC)C(=O)c1cccc(F)c1
10,60,60,16,15,60,60,12,22,60,60,60,60,60,CCCCCCN(CCCCCC)C(=O)c1ccccc1
11,60,60,60,60,60,60,60,60,60,60,60,60,60,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
12,24,21,41,27,35,31,31,22,44,46,37,43,52,CCCCCCN(CCCCCC)C(=O)c1cccc(C#N)c1
13,26,24,60,41,60,60,60,25,27,33,60,60,60,CCCCCCN(CCCCCC)C(=O)c1ccc[nH]1
14,19,10,10,10,10,10,10,10,10,10,10,10,10,Fc1cccc(-c2ccc3ccccc3c2)c1
15,13,13,15,15,57,26,25,42,19,17,57,59,60,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br
16,60,22,60,60,60,60,60,60,60,60,60,60,60,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2ccccc2)c1
17,31,31,54,42,41,52,48,17,35,13,56,59,59,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(=O)OC
18,11,10,60,60,60,12,11,10,10,10,22,24,60,COc1ccccc1P(=O)(C1CCCCC1)C1CCCCC1
19,17,17,9,9,9,9,9,9,9,9,12,12,11,CCCCCCN(CCCCCC)C(=O)c1cc2ccccc2[nH]1
20,60,18,60,60,60,60,60,60,11,60,60,60,60,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl
21,11,11,40,36,26,19,19,14,10,13,16,18,24,CCCCCCN(CCCCCC)C(=O)c1cccc(Br)c1
